STATION,POINT ID,DATE,PH,NA,NO3 and NO2,PO4,NH4,SO4,NH4
A2R001Q01,90240,05/05/1999,8.17,39.4,0.866,0.026,0.284,0.5421,0.0158
A2R001Q01,90240,05/05/1999,8.43,39.8,0.911,0.024,0.045,0.5557,0.0025
A2R001Q01,90240,05/05/1999,8.53,38.9,1.064,0.036,0.05,0.5869,0.0028
A2R001Q01,90240,05/05/1999,8.2,40.2,1.014,0.029,0.048,0.5484,0.0027
A2R001Q01,90240,05/05/1999,8.16,39.7,0.934,0.037,0.02,0.6067,0.0011
A2R001Q01,90240,18/05/1999,8.17,41.2,1.055,0.03,0.104,0.6119,0.0058
A2R001Q01,90240,18/05/1999,8.19,40.7,1.065,0.049,0.134,0.6181,0.0074
A2R001Q01,90240,18/05/1999,8.2,41.4,1.061,0.037,0.124,0.6212,0.0069
A2R001Q01,90240,18/05/1999,8.24,41.9,1.052,0.034,0.11,0.6119,0.0061
A2R001Q01,90240,18/05/1999,8.11,41.1,1.003,0.04,0.133,0.6108,0.0074
A2R001Q01,90240,18/05/1999,8.15,41,0.974,0.032,0.14,0.6119,0.0078
A2R001Q01,90240,18/05/1999,8.1,41.4,0.971,0.027,0.186,0.6098,0.0103
A2R001Q01,90240,18/05/1999,8.09,42,1.485,0.041,0.381,0.6462,0.0212
A2R001Q01,90240,20/05/1999,8.33,41.2,1.523,0.023,0.079,0.59,0.0044
A2R001Q01,90240,01/06/1999,8.102,4.832,0.148,0.019,0.02,0.0951,0.0011
A2R001Q01,90240,22/06/1999,8.02,39.4,1.65,0.014,0.02,0.565,0.0011
A2R001Q01,90240,22/06/1999,8.03,39.8,1.629,0.028,0.047,0.5369,0.0026
A2R001Q01,90240,22/06/1999,8.06,40.3,1.632,0.016,0.045,0.538,0.0025
A2R001Q01,90240,22/06/1999,7.99,39.6,1.621,0.013,0.046,0.5401,0.0026
A2R001Q01,90240,22/06/1999,8.46,40,1.614,0.04,0.045,0.6223,0.0025
A2R001Q01,90240,22/06/1999,8.01,39.5,1.632,0.016,0.044,0.5463,0.0024
A2R001Q01,90240,22/06/1999,8.06,40.3,1.606,0.027,0.054,0.5525,0.003
A2R001Q01,90240,22/06/1999,7.92,40,1.642,0.023,0.155,0.5567,0.0086
A2R001Q01,90240,07/07/1999,8.28,41.2,1.748,0.013,0.077,0.6254,0.0043
A2R001Q01,90240,07/07/1999,8.25,41.1,1.74,0.015,0.087,0.6358,0.0048
A2R001Q01,90240,07/07/1999,8.28,41,1.688,0.018,0.086,0.5942,0.0048
A2R001Q01,90240,07/07/1999,8.22,41.4,1.67,0.02,0.092,0.5983,0.0051
A2R001Q01,90240,07/07/1999,8.41,41.2,1.714,0.014,0.101,0.6379,0.0056
A2R001Q01,90240,07/07/1999,8.12,42,1.713,0.018,0.11,0.6025,0.0061
A2R001Q01,90240,07/07/1999,8.06,43.7,2.715,0.022,0.454,0.6576,0.0252
A2R001Q01,90240,07/07/1999,8.25,40.8,1.739,0.049,0.097,0.6358,0.0054
A2R001Q01,90240,20/07/1999,8.51,42,1.522,0.026,0.02,0.6025,0.0011
A2R001Q01,90240,20/07/1999,8.351,41.131,1.573,0.021,0.02,0.5959,0.0011
A2R001Q01,90240,20/07/1999,8.44,41,1.564,0.021,0.09,0.6119,0.005
A2R001Q01,90240,20/07/1999,8.53,41.8,1.66,0.027,0.127,0.616,0.0071
A2R001Q01,90240,20/07/1999,8.45,42,1.978,0.024,0.165,0.6139,0.0092
A2R001Q01,90240,20/07/1999,8.44,41,1.552,0.025,0.079,0.5983,0.0044
A2R001Q01,90240,20/07/1999,8.48,42.8,2.056,0.043,0.225,0.6285,0.0125
A2R001Q01,90240,03/08/1999,8.32,41.9,1.716,0.023,0.153,0.615,0.0085
A2R001Q01,90240,03/08/1999,8.3,42,1.773,0.032,0.169,0.6046,0.0094
A2R001Q01,90240,03/08/1999,8.4,42.3,1.718,0.024,0.161,0.616,0.0089
A2R001Q01,90240,03/08/1999,8.37,41.9,1.966,0.029,0.154,0.6243,0.0086
A2R001Q01,90240,03/08/1999,8.47,42.4,1.655,0.024,0.164,0.6077,0.0091
A2R001Q01,90240,03/08/1999,8.46,41.9,1.647,0.022,0.164,0.5983,0.0091
A2R001Q01,90240,03/08/1999,8.53,42.3,1.709,0.022,0.185,0.6056,0.0103
A2R001Q01,90240,03/08/1999,8.43,43.1,1.972,0.028,0.289,0.6181,0.0161
A2R001Q01,90240,17/08/1999,8.54,41.4,1.652,0.042,0.04,0.5567,0.0022
A2R001Q01,90240,17/08/1999,8.52,41.2,1.651,0.047,0.06,0.6264,0.0033
A2R001Q01,90240,17/08/1999,8.79,41.5,1.63,0.058,0.06,0.5609,0.0033
A2R001Q01,90240,17/08/1999,8.56,41.3,1.677,0.084,0.083,0.6316,0.0046
A2R001Q01,90240,17/08/1999,8.53,40.6,1.615,0.025,0.065,0.6368,0.0036
A2R001Q01,90240,17/08/1999,8.32,41.5,1.644,0.025,0.158,0.6316,0.0088
A2R001Q01,90240,17/08/1999,8.14,41.1,1.722,0.03,0.32,0.667,0.0178
A2R001Q01,90240,17/08/1999,8.15,41.2,1.712,0.035,0.35,0.6524,0.0194
A2R001Q01,90240,31/08/1999,8.7,46.2,1.68,0.046,0.02,0.6524,0.0011
A2R001Q01,90240,31/08/1999,8.512,45.06,1.697,0.06,0.119,0.602,0.0066
A2R001Q01,90240,31/08/1999,8.75,46.3,1.692,0.071,0.02,0.6618,0.0011
A2R001Q01,90240,31/08/1999,8.429,44.721,1.789,0.084,0.221,0.6049,0.0123
A2R001Q01,90240,31/08/1999,8.59,44.9,1.688,0.032,0.046,0.6472,0.0026
A2R001Q01,90240,31/08/1999,8.63,42.4,1.59,0.032,0.089,0.7742,0.0049
A2R001Q01,90240,31/08/1999,8.52,46.3,1.848,0.019,0.204,0.6618,0.0113
A2R001Q01,90240,31/08/1999,8.21,45.4,1.896,0.028,0.246,0.6504,0.0137
A2R001Q01,90240,14/09/1999,7.693,42.438,1.123,0.003,0.02,0.6941,0.0011
A2R001Q01,90240,14/09/1999,8.581,43.082,1.667,0.006,0.02,0.6958,0.0011
A2R001Q01,90240,14/09/1999,8.248,42.666,1.599,0.007,0.086,0.6774,0.0048
A2R001Q01,90240,14/09/1999,8.272,42.673,1.663,0.008,0.02,0.6882,0.0011
A2R001Q01,90240,14/09/1999,8.535,42.378,1.627,0.003,0.02,0.6866,0.0011
A2R001Q01,90240,14/09/1999,8.49,41.36,1.666,0.003,0.02,0.663,0.0011
A2R001Q01,90240,14/09/1999,8.413,41.089,1.696,0.008,0.127,0.6546,0.0071
A2R001Q01,90240,14/09/1999,8.456,41.997,1.731,0.008,0.115,0.6576,0.0064
A2R001Q01,90240,28/09/1999,8.773,47.158,1.587,0.042,0.02,0.7043,0.0011
A2R001Q01,90240,28/09/1999,8.375,47.942,1.565,0.057,0.02,0.6752,0.0011
A2R001Q01,90240,28/09/1999,8.542,48.577,1.56,0.061,0.02,0.6734,0.0011
A2R001Q01,90240,28/09/1999,8.211,48.104,1.556,0.052,0.02,0.6673,0.0011
A2R001Q01,90240,28/09/1999,8.363,48.465,1.555,0.043,0.02,0.6842,0.0011
A2R001Q01,90240,28/09/1999,8.51,48.047,1.579,0.034,0.02,0.6398,0.0011
A2R001Q01,90240,28/09/1999,8.349,48.303,1.704,0.021,0.02,0.6203,0.0011
A2R001Q01,90240,28/09/1999,8.178,46.45,1.741,0.022,0.051,0.6655,0.0028
A2R001Q01,90240,12/10/1999,7.739,44.37,0.02,0.11,0.588,0.6635,0.0327
A2R001Q01,90240,12/10/1999,7.582,45.196,0.139,0.259,2.924,0.7298,0.1624
A2R001Q01,90240,12/10/1999,8.014,44.81,1.078,0.203,0.956,0.6964,0.0531
A2R001Q01,90240,12/10/1999,8.595,43.921,1.211,0.031,0.214,0.6459,0.0119
A2R001Q01,90240,12/10/1999,8.489,43.863,1.515,0.02,0.107,0.6572,0.0059
A2R001Q01,90240,12/10/1999,8.23,46.431,1.568,0.015,0.164,0.6476,0.0091
A2R001Q01,90240,12/10/1999,7.751,45.946,0.117,0.294,4.154,0.7079,0.2308
A2R001Q01,90240,12/10/1999,7.988,44.341,1.125,0.017,0.02,0.9842,0.0011
A2R001Q01,90240,19/10/1999,9.726,43.65,1.172,0.404,0.02,0.4076,0.0011
A2R001Q01,90240,26/10/1999,8.418,46.257,1.112,0.03,0.283,0.6921,0.0157
A2R001Q01,90240,26/10/1999,8.429,46.296,1.105,0.024,0.283,0.6764,0.0157
A2R001Q01,90240,26/10/1999,8.434,46.174,1.105,0.047,0.302,0.6642,0.0168
A2R001Q01,90240,26/10/1999,8.274,46.27,1.116,0.023,0.283,0.6902,0.0157
A2R001Q01,90240,26/10/1999,8.202,46.572,1.128,0.028,0.328,0.6576,0.0182
A2R001Q01,90240,26/10/1999,8.241,45.473,1.242,0.033,0.329,0.69,0.0183
A2R001Q01,90240,26/10/1999,8.401,46.223,1.104,0.022,0.271,0.6724,0.0151
A2R001Q01,90240,09/11/1999,8.556,46.76,1.202,0.059,0.191,0.6809,0.0106
A2R001Q01,90240,09/11/1999,8.355,46.791,1.3,0.081,0.092,0.6398,0.0051
A2R001Q01,90240,09/11/1999,8.526,46.78,1.197,0.058,0.216,0.6965,0.012
A2R001Q01,90240,09/11/1999,8.49,46.081,1.19,0.054,0.202,0.6923,0.0112
A2R001Q01,90240,09/11/1999,8.382,46.33,1.223,0.059,0.214,0.7055,0.0119
A2R001Q01,90240,09/11/1999,8.083,45.289,0.938,0.063,0.487,0.6678,0.0271
A2R001Q01,90240,09/11/1999,8.037,44.854,0.871,0.093,0.578,0.6723,0.0321
A2R001Q01,90240,07/12/1999,8.595,47.714,1.156,0.041,0.02,0.6402,0.0011
A2R001Q01,90240,21/12/1999,8.561,48.796,0.792,0.027,0.02,0.648,0.0011
A2R001Q01,90240,21/12/1999,8.635,48.787,0.785,0.027,0.02,0.6941,0.0011
A2R001Q01,90240,21/12/1999,9.064,49.056,0.79,0.017,0.02,0.6583,0.0011
A2R001Q01,90240,21/12/1999,8.478,48.448,0.747,0.016,0.02,0.6951,0.0011
A2R001Q01,90240,21/12/1999,8.94,48.492,0.951,0.028,0.02,0.6813,0.0011
A2R001Q01,90240,21/12/1999,8.342,48.907,0.696,0.104,0.956,0.6654,0.0531
A2R001Q01,90240,21/12/1999,8.435,45.85,0.294,0.191,1.221,0.5932,0.0678
A2R001Q01,90240,27/12/1999,9.177,49.127,1.007,0.003,0.02,0.686,0.0011
A2R001Q01,90240,11/01/2000,8.378,47.166,0.882,0.017,0.02,0.6576,0.0011
A2R001Q01,90240,11/01/2000,8.313,45.758,0.885,0.017,0.02,0.6396,0.0011
A2R001Q01,90240,11/01/2000,8.232,44.579,0.797,0.012,0.049,0.6469,0.0027
A2R001Q01,90240,11/01/2000,7.969,43.948,0.824,0.01,0.02,0.6264,0.0011
A2R001Q01,90240,11/01/2000,8.135,44.461,0.792,0.014,0.05,0.6283,0.0028
A2R001Q01,90240,11/01/2000,8.576,44.71,0.646,0.073,0.779,0.6021,0.0433
A2R001Q01,90240,11/01/2000,7.854,44.578,0.02,0.13,1.341,0.575,0.0745
A2R001Q01,90240,26/01/2000,8.239,44.534,0.635,0.026,0.099,0.6385,0.0055
A2R001Q01,90240,26/01/2000,9.106,41.185,0.566,0.02,0.046,0.6387,0.0026
A2R001Q01,90240,26/01/2000,8.201,41.475,1.541,0.103,0.02,0.5868,0.0011
A2R001Q01,90240,23/02/2000,8.116,27.003,1.207,0.123,0.02,0.5255,0.0011
A2R001Q01,90240,23/02/2000,8.245,26.947,1.145,0.105,0.02,0.4967,0.0011
A2R001Q01,90240,23/02/2000,8.386,27.341,1.199,0.102,0.02,0.5202,0.0011
A2R001Q01,90240,23/02/2000,8.326,27.382,1.244,0.112,0.02,0.5067,0.0011
A2R001Q01,90240,23/02/2000,8.125,26.361,1.907,0.156,0.02,0.471,0.0011
A2R001Q01,90240,23/02/2000,8.122,22.449,1.798,0.134,0.096,0.3951,0.0053
A2R001Q01,90240,23/02/2000,8.266,22.978,1.827,0.141,0.261,0.4024,0.0145
A2R001Q01,90240,23/02/2000,8.629,27.54,1.191,0.106,0.02,0.4824,0.0011
A2R001Q01,90240,08/03/2000,7.493,25.759,0.02,0.018,0.02,0.4796,0.0011
A2R001Q01,90240,08/03/2000,7.772,24.688,0.173,0.029,0.02,0.4692,0.0011
A2R001Q01,90240,08/03/2000,8.255,23.773,0.67,0.025,0.02,0.5225,0.0011
A2R001Q01,90240,08/03/2000,7.488,25.245,0.109,0.021,0.048,0.5253,0.0027
A2R001Q01,90240,08/03/2000,8.233,24.147,0.863,0.025,0.02,0.5155,0.0011
A2R001Q01,90240,08/03/2000,8.043,23.23,2.238,0.126,0.02,0.4771,0.0011
A2R001Q01,90240,08/03/2000,8.371,21.504,2.08,0.155,0.374,0.48,0.0208
A2R001Q01,90240,08/03/2000,7.843,21.808,1.226,0.046,0.02,0.3932,0.0011
A2R001Q01,90240,23/03/2000,9.099,26.459,0.994,0.034,0.02,0.5475,0.0011
A2R001Q01,90240,23/03/2000,8.803,25.108,1.061,0.049,0.02,0.5148,0.0011
A2R001Q01,90240,23/03/2000,8.394,24.76,1.131,0.043,0.02,0.5257,0.0011
A2R001Q01,90240,23/03/2000,8.92,24.463,1.265,0.057,0.051,0.4993,0.0028
A2R001Q01,90240,23/03/2000,8.181,25.14,2.132,0.149,0.338,0.4783,0.0188
A2R001Q01,90240,23/03/2000,8.177,26.525,1.513,0.076,0.167,0.5324,0.0093
A2R001Q01,90240,23/03/2000,8.172,25.948,1.299,0.149,0.839,0.429,0.0466
A2R001Q01,90240,27/03/2000,8.718,17.462,0.766,0.105,0.02,0.3088,0.0011
A2R001Q01,90240,19/04/2000,8.023,27.652,1.629,0.024,0.02,0.5266,0.0011
A2R001Q01,90240,19/04/2000,8.751,29.528,1.515,0.081,0.02,0.5213,0.0011
A2R001Q01,90240,19/04/2000,8.579,27.814,1.195,0.07,0.02,0.5121,0.0011
A2R001Q01,90240,19/04/2000,8.422,28.945,1.615,0.082,0.02,0.5419,0.0011
A2R001Q01,90240,19/04/2000,8.314,26.746,1.821,0.086,0.02,0.4866,0.0011
A2R001Q01,90240,19/04/2000,8.349,27.08,1.848,0.094,0.062,0.5136,0.0034
A2R001Q01,90240,19/04/2000,8.414,29.054,1.844,0.092,0.074,0.4662,0.0041
A2R001Q01,90240,19/04/2000,8.158,30.124,3.457,0.155,0.522,0.5291,0.029
A2R001Q01,90240,10/05/2000,8.074,30.998,2.296,0.059,0.16,0.4634,0.0089
A2R001Q01,90240,10/05/2000,8.042,30.384,2.226,0.054,0.044,0.5064,0.0024
A2R001Q01,90240,10/05/2000,8.189,29.863,2.248,0.063,0.095,0.5201,0.0053
A2R001Q01,90240,10/05/2000,8.398,30.529,2.3,0.098,0.152,0.5121,0.0084
A2R001Q01,90240,10/05/2000,8.11,28.867,2.738,0.071,0.14,0.5001,0.0078
A2R001Q01,90240,10/05/2000,8.269,31.289,3.53,0.179,0.392,0.4945,0.0218
A2R001Q01,90240,20/05/2000,8.189,29.297,2.329,0.07,0.122,0.4654,0.0068
A2R001Q01,90240,24/05/2000,8.429,27.153,2.336,0.056,0.02,0.4264,0.0011
A2R001Q01,90240,24/05/2000,8.218,26.268,2.566,0.048,0.02,0.5231,0.0011
A2R001Q01,90240,24/05/2000,8.437,26.932,2.691,0.052,0.135,0.5326,0.0075
A2R001Q01,90240,24/05/2000,8.536,26.538,2.585,0.049,0.06,0.516,0.0033
A2R001Q01,90240,24/05/2000,8.297,33.249,2.509,0.043,0.15,0.5343,0.0083
A2R001Q01,90240,24/05/2000,8.121,27.509,2.612,0.045,0.02,0.4756,0.0011
A2R001Q01,90240,24/05/2000,8.148,27.755,3.081,0.06,0.478,0.5055,0.0266
A2R001Q01,90240,01/06/2000,7.984,29.963,2.302,0.025,0.02,0.5428,0.0011
A2R001Q01,90240,01/06/2000,8.197,31.918,2.81,0.064,0.064,0.5533,0.0036
A2R001Q01,90240,01/06/2000,8.182,29.919,2.787,0.069,0.095,0.5155,0.0053
A2R001Q01,90240,01/06/2000,8.154,29.42,2.775,0.064,0.087,0.5184,0.0048
A2R001Q01,90240,01/06/2000,8.431,28.439,2.749,0.056,0.063,0.4853,0.0035
A2R001Q01,90240,01/06/2000,8.149,28.953,2.765,0.064,0.052,0.4883,0.0029
A2R001Q01,90240,01/06/2000,8.214,30.047,2.729,0.056,0.056,0.5357,0.0031
A2R001Q01,90240,06/06/2000,8.208,29.979,2.758,0.071,0.078,0.4996,0.0043
A2R001Q01,90240,21/06/2000,8.226,36.419,3.14,0.07,0.277,0.5812,0.0154
A2R001Q01,90240,21/06/2000,8.517,28.302,2.455,0.038,0.097,0.5685,0.0054
A2R001Q01,90240,21/06/2000,8.313,27.785,2.408,0.026,0.129,0.5499,0.0072
A2R001Q01,90240,21/06/2000,8.386,28.155,2.437,0.034,0.117,0.5119,0.0065
A2R001Q01,90240,21/06/2000,8.48,28.439,2.429,0.031,0.109,0.5028,0.0061
A2R001Q01,90240,21/06/2000,8.332,28.761,2.431,0.031,0.118,0.5263,0.0066
A2R001Q01,90240,21/06/2000,8.407,35.933,3.065,0.075,0.271,0.5577,0.0151
A2R001Q01,90240,05/07/2000,8.457,31.625,2.594,0.053,0.214,0.5055,0.0119
A2R001Q01,90240,05/07/2000,8.34,29.029,2.618,0.037,0.203,0.5119,0.0113
A2R001Q01,90240,05/07/2000,8.193,30.471,2.429,0.03,0.197,0.5733,0.0109
A2R001Q01,90240,05/07/2000,8.497,29.17,2.431,0.04,0.211,0.5066,0.0117
A2R001Q01,90240,05/07/2000,8.281,29.523,2.4,0.03,0.22,0.56,0.0122
A2R001Q01,90240,05/07/2000,8.183,29.246,2.337,0.027,0.215,0.5498,0.0119
A2R001Q01,90240,05/07/2000,8.219,28.96,2.212,0.025,0.207,0.5465,0.0115
A2R001Q01,90240,05/07/2000,8.304,29.579,2.507,0.033,0.201,0.4947,0.0112
A2R001Q01,90240,26/07/2000,8.391,28.96,2.502,0.115,0.286,0.5015,0.0159
A2R001Q01,90240,26/07/2000,8.551,28.196,2.423,0.044,0.196,0.4978,0.0109
A2R001Q01,90240,26/07/2000,8.33,33.05,2.426,0.051,0.23,0.5737,0.0128
A2R001Q01,90240,26/07/2000,8.311,31.935,2.415,0.044,0.204,0.5072,0.0113
A2R001Q01,90240,26/07/2000,8.326,29.185,2.41,0.051,0.218,0.5047,0.0121
A2R001Q01,90240,26/07/2000,8.291,29.354,2.363,0.035,0.247,0.5276,0.0137
A2R001Q01,90240,26/07/2000,8.242,29.285,2.314,0.037,0.256,0.5265,0.0142
A2R001Q01,90240,26/07/2000,8.404,28.075,2.314,0.037,0.257,0.4889,0.0143
A2R001Q01,90240,23/08/2000,8.937,32.225,2.294,0.018,0.045,0.5746,0.0025
A2R001Q01,90240,23/08/2000,8.726,31.539,2.31,0.021,0.02,0.5445,0.0011
A2R001Q01,90240,23/08/2000,8.697,31.242,2.328,0.028,0.02,0.5433,0.0011
A2R001Q01,90240,23/08/2000,8.744,31.299,2.337,0.069,0.02,0.5584,0.0011
A2R001Q01,90240,23/08/2000,8.515,31.524,2.539,0.045,0.223,0.5565,0.0124
A2R001Q01,90240,23/08/2000,8.109,31.495,2.557,0.036,0.067,0.548,0.0037
A2R001Q01,90240,23/08/2000,8.623,31.682,2.437,0.069,0.442,0.5619,0.0246
A2R001Q01,90240,28/08/2000,8.319,27.166,2.316,0.028,0.02,0.556,0.0011
A2R001Q01,90240,14/09/2000,8.308,31.546,2.05,0.014,0.02,0.58,0.0011
A2R001Q01,90240,14/09/2000,8.602,32.188,2.045,0.013,0.02,0.546,0.0011
A2R001Q01,90240,14/09/2000,8.564,32.534,2.076,0.014,0.02,0.5674,0.0011
A2R001Q01,90240,14/09/2000,8.543,31.854,2.05,0.012,0.041,0.5718,0.0023
A2R001Q01,90240,14/09/2000,8.553,31.786,2.006,0.009,0.11,0.5616,0.0061
A2R001Q01,90240,14/09/2000,8.478,31.317,2.048,0.007,0.197,0.5792,0.0109
A2R001Q01,90240,14/09/2000,8.078,30.529,2.092,0.011,0.421,0.5423,0.0234
A2R001Q01,90240,14/09/2000,7.973,30.532,2.116,0.019,0.528,0.551,0.0293
A2R001Q01,90240,12/10/2000,7.455,32.101,1.808,0.014,0.02,0.6143,0.0011
A2R001Q01,90240,12/10/2000,8.627,32.676,1.825,0.035,0.132,0.575,0.0073
A2R001Q01,90240,12/10/2000,8.599,33.042,1.769,0.054,0.126,0.6187,0.007
A2R001Q01,90240,12/10/2000,8.601,33.298,1.848,0.039,0.116,0.5971,0.0064
A2R001Q01,90240,12/10/2000,8.429,32.686,1.817,0.036,0.113,0.6051,0.0063
A2R001Q01,90240,12/10/2000,8.411,32.719,1.871,0.026,0.308,0.5892,0.0171
A2R001Q01,90240,12/10/2000,8.36,32.304,1.864,0.053,0.5,0.5786,0.0278
A2R001Q01,90240,12/10/2000,8.463,32.132,1.724,0.05,0.65,0.5578,0.0361
A2R001Q01,90240,25/10/2000,8.183,33.55,1.787,0.059,0.041,0.6253,0.0023
A2R001Q01,90240,25/10/2000,8.325,33.257,1.785,0.035,0.267,0.5726,0.0148
A2R001Q01,90240,25/10/2000,8.453,37.115,1.628,0.024,0.25,0.5625,0.0139
A2R001Q01,90240,25/10/2000,7.612,33.125,1.651,0.024,0.041,0.5581,0.0023
